pin,slack
Dout_obuf[2]/U0/U_IOPAD:D,16814
Dout_obuf[2]/U0/U_IOPAD:E,
Dout_obuf[2]/U0/U_IOPAD:PAD,16814
count_obuf[6]/U0/U_IOENFF:A,
count_obuf[6]/U0/U_IOENFF:Y,
Dout_Z[7]:ALn,25027
Dout_Z[7]:CLK,16814
Dout_Z[7]:D,25336
Dout_Z[7]:EN,24085
Dout_Z[7]:Q,16814
U0/data_out_5[2]:A,11380
U0/data_out_5[2]:B,37554
U0/data_out_5[2]:Y,11380
U1/state_ns_1_0_.m4:A,24242
U1/state_ns_1_0_.m4:B,24194
U1/state_ns_1_0_.m4:C,24155
U1/state_ns_1_0_.m4:Y,24155
ip_interface_inst:B,
U0/data_out[5]:ALn,11693
U0/data_out[5]:CLK,11002
U0/data_out[5]:D,11380
U0/data_out[5]:EN,37334
U0/data_out[5]:Q,11002
count_obuf[5]/U0/U_IOENFF:A,
count_obuf[5]/U0/U_IOENFF:Y,
U1/data_out[5]:ALn,25027
U1/data_out[5]:CLK,25336
U1/data_out[5]:D,11002
U1/data_out[5]:EN,24104
U1/data_out[5]:Q,25336
Dout_obuf[7]/U0/U_IOOUTFF:A,16814
Dout_obuf[7]/U0/U_IOOUTFF:Y,16814
count_Z[6]:ALn,11693
count_Z[6]:CLK,37396
count_Z[6]:D,37311
count_Z[6]:EN,13306
count_Z[6]:Q,37396
ack_sync:ALn,11693
ack_sync:CLK,38669
ack_sync:D,12002
ack_sync:Q,38669
Dout_obuf[4]/U0/U_IOENFF:A,
Dout_obuf[4]/U0/U_IOENFF:Y,
U1/state[0]:ALn,25027
U1/state[0]:CLK,24048
U1/state[0]:D,24116
U1/state[0]:Q,24048
U1/ack:ALn,25027
U1/ack:CLK,12002
U1/ack:D,25297
U1/ack:EN,24048
U1/ack:Q,12002
clkA_ibuf_RNI0V4D/U0_RGB1:An,
clkA_ibuf_RNI0V4D/U0_RGB1:YL,
U0/data_out[4]:ALn,11693
U0/data_out[4]:CLK,11002
U0/data_out[4]:D,11380
U0/data_out[4]:EN,37334
U0/data_out[4]:Q,11002
Dout_obuf[1]/U0/U_IOENFF:A,
Dout_obuf[1]/U0/U_IOENFF:Y,
count_Z[5]:ALn,11693
count_Z[5]:CLK,37395
count_Z[5]:D,37330
count_Z[5]:EN,13306
count_Z[5]:Q,37395
count_obuf[2]/U0/U_IOOUTFF:A,
count_obuf[2]/U0/U_IOOUTFF:Y,
U1/data_out[4]:ALn,25027
U1/data_out[4]:CLK,25336
U1/data_out[4]:D,11002
U1/data_out[4]:EN,24104
U1/data_out[4]:Q,25336
U0/state_RNIOOF31[1]:A,37494
U0/state_RNIOOF31[1]:B,37437
U0/state_RNIOOF31[1]:C,37334
U0/state_RNIOOF31[1]:Y,37334
