pin,slack
q_obuf[12]/U0/U_IOOUTFF:A,9139
q_obuf[12]/U0/U_IOOUTFF:Y,9139
Q[12]:ALn,19447
Q[12]:CLK,9139
Q[12]:D,17205
Q[12]:Q,9139
q_obuf[23]/U0/U_IOPAD:D,9131
q_obuf[23]/U0/U_IOPAD:E,
q_obuf[23]/U0/U_IOPAD:PAD,9131
q_obuf[7]/U0/U_IOENFF:A,
q_obuf[7]/U0/U_IOENFF:Y,
Q_cry[17]:B,17327
Q_cry[17]:FCI,16996
Q_cry[17]:FCO,16996
Q_cry[17]:S,17110
q_obuf[7]/U0/U_IOOUTFF:A,9139
q_obuf[7]/U0/U_IOOUTFF:Y,9139
Q[10]:ALn,19447
Q[10]:CLK,9139
Q[10]:D,17243
Q[10]:Q,9139
q_obuf[20]/U0/U_IOOUTFF:A,9139
q_obuf[20]/U0/U_IOOUTFF:Y,9139
q_obuf[13]/U0/U_IOENFF:A,
q_obuf[13]/U0/U_IOENFF:Y,
q_obuf[18]/U0/U_IOPAD:D,9139
q_obuf[18]/U0/U_IOPAD:E,
q_obuf[18]/U0/U_IOPAD:PAD,9139
q_obuf[17]/U0/U_IOOUTFF:A,9139
q_obuf[17]/U0/U_IOOUTFF:Y,9139
Q[19]:ALn,19447
Q[19]:CLK,9139
Q[19]:D,17072
Q[19]:Q,9139
q[23],9131
q[22],9139
q[21],9139
q[20],9139
q[19],9139
q[18],9139
q[17],9139
q[16],9139
q[15],9139
q[14],9139
q[13],9139
q[12],9139
q[11],9139
q[10],9139
q[9],9139
q[8],9139
q[7],9139
q[6],9139
q[5],9139
q[4],9139
q[3],9139
q[2],9139
q[1],9139
q[0],9131
clk,
rst_n,
TC,9131
