pin,slack
Q_cry[22]:FCI,17443
Q_cry[22]:FCO,17443
Q_cry[22]:S,17459
q_obuf[2]/U0/U_IOENFF:A,
q_obuf[2]/U0/U_IOENFF:Y,
Q[2]:ALn,18538
Q[2]:CLK,11460
Q[2]:D,17779
Q[2]:Q,11460
Rollover5_17:A,17071
Rollover5_17:B,16987
Rollover5_17:C,16943
Rollover5_17:D,16868
Rollover5_17:Y,16868
q_obuf[17]/U0/U_IOPAD:D,11460
q_obuf[17]/U0/U_IOPAD:E,
q_obuf[17]/U0/U_IOPAD:PAD,11460
Q_cry[2]:B,17482
Q_cry[2]:FCI,17443
Q_cry[2]:FCO,17443
Q_cry[2]:S,17779
Q[4]:ALn,18538
Q[4]:CLK,11460
Q[4]:D,17747
Q[4]:Q,11460
Q[8]:ALn,18538
Q[8]:CLK,11460
Q[8]:D,17683
Q[8]:Q,11460
Rollover5_12:A,15981
Rollover5_12:B,15897
Rollover5_12:C,15853
Rollover5_12:D,15785
Rollover5_12:Y,15785
q_obuf[1]/U0/U_IOOUTFF:A,11460
q_obuf[1]/U0/U_IOOUTFF:Y,11460
q_obuf[16]/U0/U_IOOUTFF:A,11460
q_obuf[16]/U0/U_IOOUTFF:Y,11460
Q[22]:ALn,18538
Q[22]:CLK,11460
Q[22]:D,17459
Q[22]:Q,11460
q_obuf[22]/U0/U_IOPAD:D,11460
q_obuf[22]/U0/U_IOPAD:E,
q_obuf[22]/U0/U_IOPAD:PAD,11460
q_obuf[22]/U0/U_IOENFF:A,
q_obuf[22]/U0/U_IOENFF:Y,
q_obuf[17]/U0/U_IOENFF:A,
q_obuf[17]/U0/U_IOENFF:Y,
clk_ibuf_RNIVTI2/U0_RGB1:An,
clk_ibuf_RNIVTI2/U0_RGB1:YL,
q_obuf[10]/U0/U_IOOUTFF:A,11460
q_obuf[10]/U0/U_IOOUTFF:Y,11460
q_obuf[9]/U0/U_IOOUTFF:A,11460
q_obuf[9]/U0/U_IOOUTFF:Y,11460
q_obuf[6]/U0/U_IOPAD:D,11460
q_obuf[6]/U0/U_IOPAD:E,
q_obuf[6]/U0/U_IOPAD:PAD,11460
Q_cry[20]:B,17770
Q_cry[20]:FCI,17443
Q_cry[20]:FCO,17443
Q_cry[20]:S,17491
Q_s_1:B,17443
Q_s_1:FCO,17443
Q_cry[6]:B,17546
Q_cry[6]:FCI,17443
Q_cry[6]:FCO,17443
Q_cry[6]:S,17715
Q[20]:ALn,18538
Q[20]:CLK,11460
Q[20]:D,17491
Q[20]:Q,11460
Q[15]:ALn,18538
Q[15]:CLK,11460
Q[15]:D,17571
Q[15]:Q,11460
q_obuf[18]/U0/U_IOOUTFF:A,11460
q_obuf[18]/U0/U_IOOUTFF:Y,11460
q_obuf[6]/U0/U_IOOUTFF:A,11460
q_obuf[6]/U0/U_IOOUTFF:Y,11460
Q[5]:ALn,18538
Q[5]:CLK,11460
Q[5]:D,17731
Q[5]:Q,11460
TC_obuf/U0/U_IOOUTFF:A,11453
TC_obuf/U0/U_IOOUTFF:Y,11453
q_obuf[23]/U0/U_IOENFF:A,
q_obuf[23]/U0/U_IOENFF:Y,
Q_cry[15]:B,17690
Q_cry[15]:FCI,17443
Q_cry[15]:FCO,17443
Q_cry[15]:S,17571
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
Q_RNO[0]:A,17967
Q_RNO[0]:Y,17967
rst_n_ibuf_RNIBNDC/U0:An,
rst_n_ibuf_RNIBNDC/U0:YNn,
TC_obuf/U0/U_IOPAD:D,11453
TC_obuf/U0/U_IOPAD:E,
TC_obuf/U0/U_IOPAD:PAD,11453
q_obuf[12]/U0/U_IOENFF:A,
q_obuf[12]/U0/U_IOENFF:Y,
q_obuf[12]/U0/U_IOOUTFF:A,11460
q_obuf[12]/U0/U_IOOUTFF:Y,11460
Q[12]:ALn,18538
Q[12]:CLK,11460
Q[12]:D,17619
Q[12]:Q,11460
q_obuf[23]/U0/U_IOPAD:D,11453
q_obuf[23]/U0/U_IOPAD:E,
q_obuf[23]/U0/U_IOPAD:PAD,11453
q_obuf[7]/U0/U_IOENFF:A,
q_obuf[7]/U0/U_IOENFF:Y,
Q_cry[17]:B,17722
Q_cry[17]:FCI,17443
Q_cry[17]:FCO,17443
Q_cry[17]:S,17539
q_obuf[7]/U0/U_IOOUTFF:A,11460
q_obuf[7]/U0/U_IOOUTFF:Y,11460
Q[10]:ALn,18538
Q[10]:CLK,11460
Q[10]:D,17651
Q[10]:Q,11460
q_obuf[20]/U0/U_IOOUTFF:A,11460
q_obuf[20]/U0/U_IOOUTFF:Y,11460
q_obuf[13]/U0/U_IOENFF:A,
q_obuf[13]/U0/U_IOENFF:Y,
q_obuf[18]/U0/U_IOPAD:D,11460
q_obuf[18]/U0/U_IOPAD:E,
q_obuf[18]/U0/U_IOPAD:PAD,11460
q_obuf[17]/U0/U_IOOUTFF:A,11460
q_obuf[17]/U0/U_IOOUTFF:Y,11460
Q[19]:ALn,18538
Q[19]:CLK,11460
Q[19]:D,17507
Q[19]:Q,11460
q[23],11453
q[22],11460
q[21],11460
q[20],11460
q[19],11460
q[18],11460
q[17],11460
q[16],11460
q[15],11460
q[14],11460
q[13],11460
q[12],11460
q[11],11460
q[10],11460
q[9],11460
q[8],11460
q[7],11460
q[6],11460
q[5],11460
q[4],11460
q[3],11460
q[2],11460
q[1],11460
q[0],11453
clk,
rst_n,
rollover,11473
TC,11453
