pin,slack
Dout_Z[5]:ALn,48360
Dout_Z[5]:CLK,40147
Dout_Z[5]:D,48669
Dout_Z[5]:EN,47418
Dout_Z[5]:Q,40147
Dout_obuf[0]/U0/U_IOPAD:D,40147
Dout_obuf[0]/U0/U_IOPAD:E,
Dout_obuf[0]/U0/U_IOPAD:PAD,40147
count_obuf[0]/U0/U_IOPAD:D,
count_obuf[0]/U0/U_IOPAD:E,
count_obuf[0]/U0/U_IOPAD:PAD,
Dout4:A,48903
Dout4:B,47418
Dout4:Y,47418
count_obuf[5]/U0/U_IOOUTFF:A,
count_obuf[5]/U0/U_IOOUTFF:Y,
count_obuf[3]/U0/U_IOOUTFF:A,
count_obuf[3]/U0/U_IOOUTFF:Y,
Dout_obuf[7]/U0/U_IOPAD:D,40147
Dout_obuf[7]/U0/U_IOPAD:E,
Dout_obuf[7]/U0/U_IOPAD:PAD,40147
Dout_obuf[5]/U0/U_IOPAD:D,40147
Dout_obuf[5]/U0/U_IOPAD:E,
Dout_obuf[5]/U0/U_IOPAD:PAD,40147
U1/transfer_enable_RNO:A,47534
U1/transfer_enable_RNO:B,47492
U1/transfer_enable_RNO:C,47395
U1/transfer_enable_RNO:Y,47395
count_obuf[2]/U0/U_IOPAD:D,
count_obuf[2]/U0/U_IOPAD:E,
count_obuf[2]/U0/U_IOPAD:PAD,
Dout_obuf[1]/U0/U_IOOUTFF:A,40147
Dout_obuf[1]/U0/U_IOOUTFF:Y,40147
U0/data_out[6]:ALn,1694
U0/data_out[6]:CLK,997
U0/data_out[6]:D,1381
U0/data_out[6]:EN,24001
U0/data_out[6]:Q,997
Dout_obuf[4]/U0/U_IOPAD:D,40147
Dout_obuf[4]/U0/U_IOPAD:E,
Dout_obuf[4]/U0/U_IOPAD:PAD,40147
U1/data_out[6]:ALn,48360
U1/data_out[6]:CLK,48669
U1/data_out[6]:D,997
U1/data_out[6]:EN,47437
U1/data_out[6]:Q,48669
Dout_obuf[0]/U0/U_IOENFF:A,
Dout_obuf[0]/U0/U_IOENFF:Y,
U0/data_out_5[3]:A,1381
U0/data_out_5[3]:B,24221
U0/data_out_5[3]:Y,1381
count_Z[7]:ALn,1694
count_Z[7]:CLK,24063
count_Z[7]:D,23959
count_Z[7]:EN,3307
count_Z[7]:Q,24063
count_obuf[4]/U0/U_IOOUTFF:A,
count_obuf[4]/U0/U_IOOUTFF:Y,
count_obuf[6]/U0/U_IOOUTFF:A,
count_obuf[6]/U0/U_IOOUTFF:Y,
Dout_Z[2]:ALn,48360
Dout_Z[2]:CLK,40147
Dout_Z[2]:D,48669
Dout_Z[2]:EN,47418
Dout_Z[2]:Q,40147
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
count_obuf[3]/U0/U_IOPAD:D,
count_obuf[3]/U0/U_IOPAD:E,
count_obuf[3]/U0/U_IOPAD:PAD,
count_cry[3]:B,24024
count_cry[3]:FCI,23959
count_cry[3]:FCO,23959
count_cry[3]:S,24035
U1/state_s0_0_a4:A,47479
U1/state_s0_0_a4:B,47437
U1/state_s0_0_a4:Y,47437
Dout_obuf[6]/U0/U_IOPAD:D,40147
Dout_obuf[6]/U0/U_IOPAD:E,
Dout_obuf[6]/U0/U_IOPAD:PAD,40147
count_Z[0]:ALn,1694
count_Z[0]:CLK,23959
count_Z[0]:D,24275
count_Z[0]:EN,3307
count_Z[0]:Q,23959
Dout_Z[4]:ALn,48360
Dout_Z[4]:CLK,40147
Dout_Z[4]:D,48669
Dout_Z[4]:EN,47418
Dout_Z[4]:Q,40147
req_sink:ALn,48360
req_sink:CLK,46378
req_sink:D,48669
req_sink:Q,46378
reset_ibuf_RNI8255/U0_RGB1:An,1694
reset_ibuf_RNI8255/U0_RGB1:YL,1694
Dout_obuf[3]/U0/U_IOPAD:D,40147
Dout_obuf[3]/U0/U_IOPAD:E,
Dout_obuf[3]/U0/U_IOPAD:PAD,40147
count_cry[1]:B,23986
count_cry[1]:FCI,23959
count_cry[1]:FCO,23959
count_cry[1]:S,24081
U0/data_out[7]:ALn,1694
U0/data_out[7]:CLK,997
U0/data_out[7]:D,1381
U0/data_out[7]:EN,24001
U0/data_out[7]:Q,997
U1/data_out[7]:ALn,48360
U1/data_out[7]:CLK,48669
U1/data_out[7]:D,997
U1/data_out[7]:EN,47437
U1/data_out[7]:Q,48669
count[7],
count[6],
count[5],
count[4],
count[3],
count[2],
count[1],
count[0],
Dout[7],40147
Dout[6],40147
Dout[5],40147
Dout[4],40147
Dout[3],40147
Dout[2],40147
Dout[1],40147
Dout[0],40147
clkA,
clkB,
reset,1694
enable,1381
